OBJECTID,APN,HOUSE,STREET_NAME,STREET_TYPE,ASSESSMENT,RESOURCE_NAME,ORDINANCE,Shape__Area,Shape__Length
2136,01201130200000,2911,RIVERSIDE,BLVD,Landmark,Starks-Saucerman House,2022-0013,7710.75,387.837886
2137,01303730050000,2722,COLEMAN,WAY,Landmark,,2022-0022,7357.458984,353.7197496
2138,01201510350000,420,4TH,AVE,Landmark,C.G Hidden Farmhouse,2022-0021,29183.4834,693.9356163
2139,01000220250000,1810,S,ST,Landmark,Colley Law Offices,2020-0037,13181.06641,488.4422583
2140,00201650160000,1425,G,ST,Landmark,Leinberg Residence,2020-0049,3391.974609,249.7533543
2141,00301140260000,3135,D,ST,Landmark,Guisto Family Resdence,2020-0036,6355.992188,401.4190531
2456,00802720100000,1301,45TH,ST,Landmark,,2023-0009,16370.53125,503.8417963
2457,00900430010000,1800,3RD,ST,Landmark,,82-046,52468.99414,974.4290749
2458,01700100010000,3930,WEST LAND PARK,DR,Landmark,Zoo Entrance Structures,2023-0004,10175855.69,16165.80888
2460,00801940120000,1308,38TH,ST,Landmark,Miller House,2019-0017,10196.35156,432.5890336
2461,00801330120000,1109,38TH,ST,Landmark,Boitano House,2019-0017,7861.955078,412.5112547
2462,00802530260000,1315,38TH,ST,Landmark,Lubin/Riley House,2019-0017,11466.24902,462.8147124
2463,00801330280000,1081,38TH,ST,Landmark,1031 Maple Avenue,2019-0017,18592.85352,549.8223826
2464,00802110140000,1230,45TH,ST,Landmark,,2023-0019,22333.13672,585.4923189
2465,2.7501E+13,670,DIXIEANNE,AVE,Landmark,North Sacramento School,2024-0001,76182.77832,1153.718317
2776,00801510110000,1049,44TH,ST,Landmark,,2024-0023,6674.709961,364.6365657
2777,00702460050000,2025,P,ST,Landmark,,2024-0022,6394.53125,402.2674492
3096,00801520080000,1100,46TH,ST,Landmark,,2024-0046,10673.61816,445.1458959
3097,00802720190000,1341,45TH,ST,Landmark,,2024-0046,21674.28809,590.1651553
3098,2.7501E+13,670,DIXIEANNE,AVE,Landmark,North Sacramento School,2024-0001,17391.08984,527.975653
3099,2.7501E+13,670,DIXIEANNE,AVE,Landmark,North Sacramento School,2024-0001,10964.0625,436.0815208
3416,01000940250000,2116,21ST,ST,Landmark,Coronet Portraits Sign/J.C. Coffing house,3911,5499.611328,303.3203082
